GEOID,sovi,rank,fema_region
g12099,2.4440008113746963,102.0,FEMA_4
g12101,1.0493158887768563,224.0,FEMA_4
g12103,3.2431835438771666,60.0,FEMA_4
g12105,2.1185034222111523,123.0,FEMA_4
g12107,2.8190052138169768,78.0,FEMA_4
g12109,-3.9069723562753076,695.0,FEMA_4
g12111,2.7893274237500623,81.0,FEMA_4
g12113,-3.3767716204771183,677.0,FEMA_4
g12115,3.6114705235241242,49.0,FEMA_4
g12117,-2.4236858983110676,634.0,FEMA_4
g12119,6.529691230493824,15.0,FEMA_4
g12121,2.62870902033354,93.0,FEMA_4
g12123,2.7167842538133775,86.0,FEMA_4
g12125,6.442042435902716,17.0,FEMA_4
g12127,2.0936006680608545,127.0,FEMA_4
g12129,-2.3633051601665582,632.0,FEMA_4
g12131,1.7186585828114174,150.0,FEMA_4
g12133,2.4237785942128496,104.0,FEMA_4
g13001,-0.6325273540664298,445.0,FEMA_4
g13003,0.6658795293440615,268.0,FEMA_4
g13005,-0.47029672193602273,418.0,FEMA_4
g13007,0.7639264590568609,258.0,FEMA_4
g13009,2.575844190767766,96.0,FEMA_4
g13011,-3.7339809288928087,690.0,FEMA_4
g13013,-3.640255372689092,686.0,FEMA_4
g13015,-2.6870073169982587,644.0,FEMA_4
g13017,2.1998061172019665,118.0,FEMA_4
g13019,-0.3988626477535189,407.0,FEMA_4
g13021,0.5075310399496744,284.0,FEMA_4
g13023,-0.8393673555421758,471.0,FEMA_4
g13025,-1.2217934473555894,520.0,FEMA_4
g13027,1.1536538938088952,203.0,FEMA_4
g13029,-4.8863756851241655,713.0,FEMA_4
g13031,-1.1919892223617936,519.0,FEMA_4
g13033,0.5687420718713504,278.0,FEMA_4
g13035,-1.8484417789211898,596.0,FEMA_4
g13037,6.67217482734256,12.0,FEMA_4
g13039,-2.7339848152947024,649.0,FEMA_4
g13043,3.1975406850924304,64.0,FEMA_4
g13045,-2.7570636949269534,650.0,FEMA_4
g13047,-3.20150161061726,672.0,FEMA_4
g13049,0.8703235582134446,244.0,FEMA_4
g13051,-0.5550685826617475,432.0,FEMA_4
g13053,-1.4947166908116654,555.0,FEMA_4
g13055,-0.12217173219393962,374.0,FEMA_4
g13057,-5.720274790679473,723.0,FEMA_4
g13059,1.1846478785647567,200.0,FEMA_4
g13061,7.894786118099252,7.0,FEMA_4
g13063,0.5746217479900841,277.0,FEMA_4
g13065,2.191374920268729,119.0,FEMA_4
g13067,-3.397681307676825,680.0,FEMA_4
g13069,-0.06788218586977637,366.0,FEMA_4
g13071,0.6911986049736836,263.0,FEMA_4
g13073,-5.710418431041319,722.0,FEMA_4
g13075,-0.6519556156153989,447.0,FEMA_4
g13077,-4.781163670609422,711.0,FEMA_4
g13079,-1.7057601666600712,584.0,FEMA_4
g13081,1.1122229774274204,210.0,FEMA_4
g13083,-2.3601079033919623,630.0,FEMA_4
g13085,-3.89797497524755,694.0,FEMA_4
g13087,1.90410511521508,139.0,FEMA_4
g13089,-0.3320212639007146,399.0,FEMA_4
g13091,1.0875535556574953,213.0,FEMA_4
g13093,1.0371051051192282,226.0,FEMA_4
g13095,0.8060248240150838,254.0,FEMA_4
g13097,-4.700364020523397,709.0,FEMA_4
g13099,1.101885466971575,211.0,FEMA_4
g13101,3.88492230343118,43.0,FEMA_4
g13103,-5.867053106866628,727.0,FEMA_4
g13105,1.2478899472581726,194.0,FEMA_4
g13107,1.6930728309044625,151.0,FEMA_4
g13109,-0.4366280301806811,413.0,FEMA_4
g13111,1.1414667793889322,206.0,FEMA_4
g13113,-7.134536367253013,733.0,FEMA_4
g13115,0.4641870762755723,290.0,FEMA_4
g13117,-7.138147488805205,734.0,FEMA_4
g13119,0.44934685269858243,291.0,FEMA_4
g13121,-2.3271704964647424,625.0,FEMA_4
g13123,0.7962945235363273,255.0,FEMA_4
g13125,1.6119336573245668,158.0,FEMA_4
g13127,0.18919075847073957,330.0,FEMA_4
g13129,-1.0437932300890063,495.0,FEMA_4
g13131,0.3671529547629568,303.0,FEMA_4
g13133,2.247870122886062,117.0,FEMA_4
g13135,-1.8407359747769432,595.0,FEMA_4
g13137,-0.8818609008372011,479.0,FEMA_4
g13139,-0.15855644436624677,375.0,FEMA_4
g13141,6.592740388170528,13.0,FEMA_4
g13143,-1.3052197041853963,533.0,FEMA_4
g13145,-7.027364566171474,732.0,FEMA_4
g13147,0.6737956792185352,266.0,FEMA_4
g13149,-1.7124591464658065,585.0,FEMA_4
g13151,-5.305400137131767,716.0,FEMA_4
g13153,-3.260800013690745,674.0,FEMA_4
g13155,0.15436130466493875,336.0,FEMA_4
g13157,-3.6932399814554526,688.0,FEMA_4
g13159,-1.974378323013683,603.0,FEMA_4
g13161,-0.9560102594107993,484.0,FEMA_4
g13163,1.9344784488032687,135.0,FEMA_4
g13165,0.8510354940045377,247.0,FEMA_4
g13167,1.3914274227823844,181.0,FEMA_4
g13169,-4.5344835849454315,707.0,FEMA_4
g13171,-1.9254179198898143,599.0,FEMA_4
g13173,0.30846725716981477,313.0,FEMA_4
g13175,0.27113771462259983,318.0,FEMA_4
g13177,-6.769067307096572,731.0,FEMA_4
g13179,-2.1036249353734595,611.0,FEMA_4
g13181,2.4711775002037903,100.0,FEMA_4
g13183,-0.2022631195804605,379.0,FEMA_4
g13185,-1.5517878777540868,563.0,FEMA_4
g13187,-2.4307546885162328,635.0,FEMA_4
g13189,-0.4163561237379486,411.0,FEMA_4
g13191,-0.6196673485400467,440.0,FEMA_4
g13193,1.8398783462587942,143.0,FEMA_4
g13195,-2.1309840649171106,612.0,FEMA_4
g13197,1.6454721842070859,153.0,FEMA_4
g13199,-0.8188587832019066,468.0,FEMA_4
g13201,1.076616104328975,216.0,FEMA_4
g13205,0.6699108850938313,267.0,FEMA_4
g13207,-2.9555832114841425,659.0,FEMA_4
g13209,-1.0796195441391458,501.0,FEMA_4
g13211,-2.6631591379912605,642.0,FEMA_4
g13213,-1.533348360170765,560.0,FEMA_4
g13215,0.629758709381067,272.0,FEMA_4
g13217,-4.246712736971918,700.0,FEMA_4
g13219,-6.71097456795081,730.0,FEMA_4
g13221,-3.345968496414637,676.0,FEMA_4
g13223,-6.340683576203117,729.0,FEMA_4
g13225,-1.4097861081281184,545.0,FEMA_4
g13227,-2.530198627089743,639.0,FEMA_4
g13229,-0.20238010611267568,380.0,FEMA_4
g13231,-5.5923072085344225,721.0,FEMA_4
g13233,0.2692684399757904,319.0,FEMA_4
g13235,2.4191042120795423,108.0,FEMA_4
g13237,0.20010505456304573,327.0,FEMA_4
g13239,1.4236120416233322,179.0,FEMA_4
g13241,2.9070533768506404,75.0,FEMA_4
g13243,2.394193358432082,110.0,FEMA_4
g13245,0.9124025770153069,239.0,FEMA_4
g13247,-2.9537105237182533,658.0,FEMA_4
g13249,-2.5787090015794316,641.0,FEMA_4
g13251,-0.5010254323899375,423.0,FEMA_4
g13253,1.4698370422272138,175.0,FEMA_4
g13255,-0.5701043053520674,434.0,FEMA_4
g13257,-0.016711854483856592,357.0,FEMA_4
g13259,6.2160151515901525,18.0,FEMA_4
g13261,2.5180074304652913,98.0,FEMA_4
g13263,-0.01959070155799003,358.0,FEMA_4
g13265,4.5016679277735205,30.0,FEMA_4
g13267,2.011542727873916,132.0,FEMA_4
g13269,1.3658427078538937,184.0,FEMA_4
g13271,8.088374461192364,6.0,FEMA_4
g13273,2.4195540851326385,107.0,FEMA_4
g13275,0.7865078612962763,256.0,FEMA_4
g13277,-0.0010180853763634423,355.0,FEMA_4
g13279,1.968470707371125,133.0,FEMA_4
g13281,2.99972980091627,72.0,FEMA_4
g13283,1.1162064832974294,209.0,FEMA_4
g13285,-0.856151817675887,474.0,FEMA_4
g13287,1.498546459951207,172.0,FEMA_4
g13289,-1.2824206533601379,527.0,FEMA_4
g13291,2.1015874997485615,125.0,FEMA_4
g13293,1.0056612055817806,231.0,FEMA_4
g13295,-1.8112570215440238,592.0,FEMA_4
g13297,-3.591657171336841,685.0,FEMA_4
g13299,1.6384178325746979,155.0,FEMA_4
g13301,1.8797489910013527,142.0,FEMA_4
g13303,1.5002426437885934,171.0,FEMA_4
g13305,-0.5170909458770094,427.0,FEMA_4
g13307,-0.7804600109339977,463.0,FEMA_4
g13309,6.037971865942461,20.0,FEMA_4
g13311,-0.8169598586652981,467.0,FEMA_4
g13313,1.0554563900612928,222.0,FEMA_4
g13315,4.492279944072211,31.0,FEMA_4
g13317,2.4302991925168542,103.0,FEMA_4
g13319,-0.6102029585902506,437.0,FEMA_4
g13321,-0.7728944460065404,460.0,FEMA_4
g15001,,,
g15003,,,
g15005,,,
g15007,,,
g15009,,,
g16001,-3.2736583741796657,105.0,FEMA_10
g16003,-0.8094455079564923,73.0,FEMA_10
g16005,-1.0408350455837976,79.0,FEMA_10
g16007,-1.985390047909105,98.0,FEMA_10
g16009,1.1283384505403686,49.0,FEMA_10
g16011,-0.5339777493073357,70.0,FEMA_10
g16013,-4.678459110688297,112.0,FEMA_10
g16015,-5.051361097703794,115.0,FEMA_10
g16017,-1.090755159969186,81.0,FEMA_10
