GEOID,sovi_weighted,rank_weighted
g26013,2.7331442212712957,387.0
g26015,-3.06984329864853,2772.0
g26017,1.0802377248327173,992.0
g26019,1.9546641460435492,608.0
g26021,1.2355627022099658,914.0
g26023,-1.0479133034305383,2125.0
g26025,1.1501165958861514,963.0
g26027,-1.2234604733863084,2214.0
g26029,0.09405286995599826,1528.0
g26031,2.465875455534953,443.0
g26033,0.412165573833537,1355.0
g26035,3.1700681542455413,306.0
g26037,-2.6778470319182364,2681.0
g26039,2.496560785974604,436.0
g26041,1.68560922999085,728.0
g26043,0.3805295002713196,1378.0
g26045,-1.5007555542791837,2323.0
g26047,-0.23810778120348264,1715.0
g26049,1.1602657855577396,956.0
g26051,1.9041890414378653,629.0
g26053,3.3118511913974666,283.0
g26055,-1.1619492273176395,2179.0
g26057,0.04636106500960002,1555.0
g26059,-0.6136658304806774,1927.0
g26061,-0.26678244543390073,1739.0
g26063,1.5825105323293949,772.0
g26065,-0.45111602472607615,1848.0
g26067,-3.0269699433578148,2761.0
g26069,5.40481947395188,109.0
g26071,5.495164221943929,102.0
g26073,1.127793712700236,971.0
g26075,-0.4647045198932356,1854.0
g26077,-1.0549805494732252,2128.0
g26079,0.4980686739693059,1309.0
g26081,-1.4756527489307598,2315.0
g26083,2.792124081658015,375.0
g26085,5.089722361650147,122.0
g26087,-3.0643526584070147,2770.0
g26089,0.5717873797094148,1261.0
g26091,-0.13938678845763475,1660.0
g26093,-5.500960943515182,3054.0
g26095,1.042065909756999,1013.0
g26097,5.2280329247889075,116.0
g26099,-0.9892528086769313,2097.0
g26101,1.6441561293300866,744.0
g26103,0.14920893329884222,1493.0
g26105,1.8672039630984179,639.0
g26107,-0.0818577943471131,1624.0
g26109,1.100653465973226,984.0
g26111,-2.747422491114803,2697.0
g26113,-0.3479487606867596,1785.0
g26115,-1.8811899306904547,2456.0
g26117,-1.87446593620075,2450.0
g26119,5.332717757369571,111.0
g26121,0.7499011895478105,1166.0
g26123,-1.0000387436422489,2100.0
g26125,-3.783776662360891,2904.0
g26127,1.7496807930919491,696.0
g26129,4.692558548230176,136.0
g26131,3.859887085755986,213.0
g26133,0.45593051725009826,1336.0
g26135,4.5496181225861285,145.0
g26137,0.3336184458389145,1405.0
g26139,-3.2564030786984457,2810.0
g26141,2.7970940785054625,372.0
g26143,5.510508068973973,100.0
g26145,1.9870434208843546,593.0
g26147,-0.7261747065999504,1982.0
g26149,-0.9230256094146746,2077.0
g26151,-0.2667171043936508,1738.0
g26153,4.474757958157214,149.0
g26155,-0.6969991858547543,1965.0
g26157,0.3450801233080546,1396.0
g26159,0.38382746993532096,1376.0
g26161,-3.978386805703196,2931.0
g26163,2.3693192822855442,467.0
g26165,-0.23435383208362354,1714.0
g27001,3.759095169918028,227.0
g27003,-4.94817251168079,3017.0
g27005,0.20891483166642255,1462.0
g27007,1.4281158266799596,836.0
g27009,-1.4268642414911008,2298.0
g27011,3.6268937805304846,241.0
g27013,-2.0516368351967493,2506.0
g27015,-0.05462985796549913,1609.0
g27017,-0.8631783199565592,2048.0
g27019,-6.8558481740785275,3110.0
g27021,1.8751355062977166,637.0
g27023,0.7172078332276558,1183.0
g27025,-4.5575303463994485,2986.0
g27027,-1.1369313194079194,2172.0
g27029,1.5492057247799096,788.0
g27031,2.38855945795632,460.0
g27033,2.085479655102117,555.0
g27035,0.4158543317338954,1353.0
g27037,-4.782142829127724,3005.0
g27039,-3.0906812811483206,2780.0
g27041,-0.5844986303989532,1911.0
g27043,1.0744353994959437,997.0
g27045,0.9235627721415345,1065.0
g27047,1.887956826462012,633.0
g27049,-1.233594518628509,2224.0
g27051,2.0280316970714627,581.0
g27053,-3.046606751005,2764.0
g27055,-0.38649625126526965,1806.0
g27057,0.40891669133586656,1358.0
g27059,-3.3421295436045266,2832.0
g27061,0.718191359111826,1181.0
g27063,-0.9772665253862629,2094.0
g27065,-1.1117437970201989,2159.0
g27067,0.033152979505944424,1564.0
g27069,0.6881821626686686,1200.0
g27071,1.3258167534193315,883.0
g27073,0.5335194445337315,1288.0
g27075,2.5367380799476824,430.0
g27077,-1.683167570042159,2387.0
g27079,-2.1387709583179166,2533.0
g27081,1.8735298120843127,638.0
g27083,-0.8000409750413082,2014.0
g27085,-2.0959478483367255,2523.0
g27087,7.9284505359569675,41.0
g27089,-1.6681962178812313,2384.0
g27091,0.23737150818030717,1450.0
g27093,-2.0718097629518826,2515.0
g27095,0.21629231343728894,1457.0
g27097,-0.7696438298673571,2002.0
g27099,1.1949187946367996,937.0
g27101,0.8846289286106135,1088.0
g27103,-2.7850255668786867,2703.0
g27105,2.0628016830723266,565.0
g27107,2.190920234690033,524.0
g27109,-2.8562945636817023,2723.0
g27111,0.8311038614000863,1123.0
g27113,-1.1861198394338048,2194.0
g27115,-0.5786867663391779,1906.0
g27117,2.553652701059764,426.0
g27119,0.5477647491742184,1279.0
g27121,-0.14059534827763864,1661.0
g27123,-0.3323393419620295,1774.0
g27125,-1.3832855189630253,2277.0
g27127,0.6995795757978167,1191.0
g27129,0.39785751244743217,1365.0
g27131,-2.134395659918663,2532.0
g27133,1.1156956559871714,977.0
g27135,-3.083656890526065,2777.0
g27137,0.7650176215568227,1156.0
g27139,-6.525927317198459,3103.0
g27141,-5.5121838585733425,3055.0
g27143,-0.8194226158132311,2026.0
g27145,-2.3371315137333304,2585.0
g27147,-1.5797264711793653,2351.0
g27149,-1.3150889869269817,2257.0
g27151,0.5565202400071083,1273.0
g27153,-0.3884950296929008,1809.0
g27155,2.408903791581391,455.0
g27157,-1.389603034333535,2279.0
g27159,2.122071007209936,541.0
g27161,-1.406706466865838,2285.0
g27163,-5.990211079701302,3081.0
g27165,1.4155223049513999,841.0
g27167,-0.8194035833438955,2025.0
g27169,-0.9746368437628299,2093.0
g27171,-5.183864707756854,3032.0
g27173,0.9255779820826674,1063.0
g28001,2.468505894957326,442.0
g28003,0.08827199453308399,1532.0
g28005,1.3330733276932254,879.0
g28007,2.3822150909804765,462.0
g28009,-1.2950228476680938,2253.0
g28011,3.996600279052051,193.0
g28013,2.209769755764452,519.0
g28015,0.023534185128436746,1566.0
g28017,1.7781472507907057,687.0
g28019,1.7612133266405559,691.0
g28021,3.3449699449506314,278.0
g28023,-0.2632469018398138,1732.0
g28025,1.1230737093583876,972.0
g28027,6.645722126874622,63.0
g28029,-0.4312872775697618,1829.0
g28031,-0.09765953587070753,1632.0
g28033,-3.4413440712871752,2849.0
g28035,0.16299679114870635,1484.0
g28037,-0.5185229621912162,1882.0
g28039,-4.931705610147839,3014.0
g28041,-5.283857549528564,3040.0
g28043,1.4253602938474426,837.0
g28045,-1.45668087295191,2308.0
g28047,-0.3249463379523515,1769.0
